time_period,area_name,median_monthly_pay
2016-07-01,Yorkshire and The Humber,1547
2016-08-01,Yorkshire and The Humber,1547
2016-09-01,Yorkshire and The Humber,1550
2016-10-01,Yorkshire and The Humber,1552
2016-11-01,Yorkshire and The Humber,1553
2016-12-01,Yorkshire and The Humber,1559
2017-01-01,Yorkshire and The Humber,1552
2017-02-01,Yorkshire and The Humber,1559
2017-03-01,Yorkshire and The Humber,1570
2017-04-01,Yorkshire and The Humber,1572
2017-05-01,Yorkshire and The Humber,1579
2017-06-01,Yorkshire and The Humber,1582
2017-07-01,Yorkshire and The Humber,1583
2017-08-01,Yorkshire and The Humber,1588
2017-09-01,Yorkshire and The Humber,1592
2017-10-01,Yorkshire and The Humber,1596
2017-11-01,Yorkshire and The Humber,1602
2017-12-01,Yorkshire and The Humber,1608
2018-01-01,Yorkshire and The Humber,1608
2018-02-01,Yorkshire and The Humber,1611
2018-03-01,Yorkshire and The Humber,1610
2018-04-01,Yorkshire and The Humber,1611
2018-05-01,Yorkshire and The Humber,1633
2018-06-01,Yorkshire and The Humber,1639
2018-07-01,Yorkshire and The Humber,1642
2018-08-01,Yorkshire and The Humber,1661
2018-09-01,Yorkshire and The Humber,1640
2018-10-01,Yorkshire and The Humber,1648
2018-11-01,Yorkshire and The Humber,1661
2018-12-01,Yorkshire and The Humber,1654
2019-01-01,Yorkshire and The Humber,1665
2019-02-01,Yorkshire and The Humber,1669
2019-03-01,Yorkshire and The Humber,1679
2019-04-01,Yorkshire and The Humber,1690
2019-05-01,Yorkshire and The Humber,1687
2019-06-01,Yorkshire and The Humber,1689
2019-07-01,Yorkshire and The Humber,1695
2019-08-01,Yorkshire and The Humber,1697
2019-09-01,Yorkshire and The Humber,1688
2019-10-01,Yorkshire and The Humber,1702
2019-11-01,Yorkshire and The Humber,1705
2019-12-01,Yorkshire and The Humber,1712
2020-01-01,Yorkshire and The Humber,1717
2020-02-01,Yorkshire and The Humber,1727
2020-03-01,Yorkshire and The Humber,1715
2020-04-01,Yorkshire and The Humber,1681
2020-05-01,Yorkshire and The Humber,1686
2020-06-01,Yorkshire and The Humber,1713
2020-07-01,Yorkshire and The Humber,1746
2020-08-01,Yorkshire and The Humber,1764
