time_period,area_code,area_name,region_or_country_name,index,monthly_change,annual_change,rental_price,median_monthly_pay,rent_to_pay_percent,cpih_index,real_rent,real_pay
2023-02-01,E12000007,London,,100.596252,0.596252,6.137342,1841.0,2646,69.57671957671958,126.0,2076.2388888888886,2984.1
2023-03-01,E12000007,London,,101.04869,0.449756,6.332688,1850.0,2660,69.54887218045113,126.8,2073.225552050473,2980.9621451104103
2023-04-01,E12000007,London,,102.172554,1.112201,7.118241,1870.0,2666,70.14253563390848,128.3,2071.1379579111453,2952.7560405300073
2023-05-01,E12000007,London,,103.593472,1.390704,8.362559,1896.0,2705,70.09242144177449,129.1,2086.921766072812,2977.385747482572
2023-06-01,E12000007,London,,104.63453,1.004945,9.211435,1915.0,2747,69.71241354204587,129.4,2102.9482225656875,3016.6051004636784
2023-07-01,E12000007,London,,105.465064,0.793747,9.513058,1930.0,2723,70.87770840984209,129.0,2125.9922480620153,2999.5217054263567
2023-08-01,E12000007,London,,106.266213,0.759634,9.73249,1945.0,2727,71.32379904657132,129.4,2135.8925811437402,2994.6421947449767
2023-09-01,E12000007,London,,106.919752,0.615002,9.61668,1957.0,2729,71.71124954195676,130.1,2137.507302075327,2980.7140661029975
2023-10-01,E12000007,London,,107.659609,0.691975,10.048779,1971.0,2722,72.40999265246143,130.2,2151.1451612903224,2970.7849462365593
2023-11-01,E12000007,London,,108.256944,0.554836,9.717167,1982.0,2756,71.91582002902757,130.0,2166.4784615384615,3012.52
2023-12-01,E12000007,London,,108.915417,0.60825,9.664025,1994.0,2773,71.90768121168409,130.5,2171.244444444444,3019.4888888888886
2024-01-01,E12000007,London,,109.735714,0.753151,9.735714,2009.0,2777,72.3442563917897,130.0,2195.9915384615383,3035.4746153846154
2024-02-01,E12000007,London,,111.135785,1.275857,10.477063,2034.0,2785,73.03411131059246,130.8,2209.720183486238,3025.6001529051987
2024-03-01,E12000007,London,,112.3365,1.080403,11.170664,2056.0,2793,73.61260293591121,131.6,2220.0425531914893,3015.845744680851
2024-04-01,E12000007,London,,113.150094,0.724247,10.744117,2071.0,2799,73.99071096820293,132.2,2226.090015128593,3008.60741301059
2024-05-01,E12000007,London,,114.047773,0.793353,10.09166,2088.0,2813,74.22680412371135,132.7,2235.9065561416733,3012.262999246421
2024-06-01,E12000007,London,,114.717796,0.587493,9.636652,2100.0,2823,74.38894792773645,133.0,2243.684210526316,3016.1526315789474
2024-07-01,E12000007,London,,115.624087,0.790018,9.632595,2116.0,2840,74.50704225352112,132.9,2262.4800601956354,3036.5989465763732
2024-08-01,E12000007,London,,116.381396,0.654975,9.51872,2130.0,2848,74.78932584269663,133.4,2268.913043478261,3033.7391304347825
2024-09-01,E12000007,London,,117.304601,0.793258,9.712751,2147.0,2858,75.1224632610217,133.5,2285.30861423221,3042.1108614232207
